country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Romania,2670,2220,2020,2010,1900,2050,2120,1990,1830,1610,1620,1670,1760,1840,1800,1810,1880,1900,1930,1710,1720,1770,1740,1590,1580,1600,1600,1690,1720,1710,1670,1790,1660,
Russia,5940,5870,5360,5060,4430,4290,4250,4070,3980,4140,4220,4290,4290,4460,4490,4540,4690,4710,4820,4530,4850,5000,5060,4900,4890,4790,4920,5000,5260,5070,5040,5680,5600,
Rwanda,815,753,682,619,767,1050,919,920,495,514,406,406,408,396,387,352,351,348,347,350,349,350,354,355,352,350,348,352,356,357,358,366,373,
Saudi Arabia,5450,6050,6580,6540,6590,6320,6490,6020,6170,6050,6520,6350,6830,6630,6380,6450,6610,6700,6980,7130,7970,7980,7860,7400,7960,7790,7520,7710,7650,7670,7170,7470,7530,
Sudan,483,472,462,439,496,486,486,486,479,518,487,494,518,491,481,486,508,478,473,482,445,467,391,474,476,463,448,443,435,435,422,426,412,
Senegal,218,211,218,211,204,211,211,218,225,232,241,254,250,236,247,246,242,254,259,305,313,317,302,271,285,297,287,278,274,299,281,294,316,
Singapore,3780,4170,4590,5490,6460,5350,5360,5820,5080,4590,4630,5150,5070,6220,7370,4930,5130,4540,4960,5190,4760,4140,4690,5190,5610,5830,5950,6310,5800,6070,6030,6500,6630,
Solomon Islands,161,,,,,,,,,,,,,,122,120,120,128,,,,,,,,,,,,,,,,
El Salvador,457,494,507,527,553,583,553,608,622,641,537,568,582,622,628,644,687,695,702,689,697,693,701,660,649,674,687,675,695,735,670,722,769,
Serbia,2470,2180,2010,1710,1570,1780,2140,2270,2270,1660,1800,1970,2100,2210,2420,2150,2290,2240,2290,2070,2150,2240,2020,2080,1860,2080,2170,2230,2200,2200,2290,2360,2440,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,59.3,60.5,62.1,76.4,70.8,70,76.6,75.7,72.1,72.7,69,
Sao Tome and Principe,191,,,,,,,,,,,,,,241,266,266,259,,,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,1280,1350,963,1000,1090,1230,1170,1120,1180,1160,1350,1680,1410,1710,1790,1580,1730,1610,1520,1730,1690,1700,1740,
Slovak Republic,4020,3610,3410,3330,3260,3320,3360,3360,3260,3270,3290,3460,3480,3470,3420,3500,3470,3320,3410,3110,3440,3340,3220,3260,3010,3130,3160,3320,3270,3130,3030,3300,3090,3200
Slovenia,2860,2780,2580,2720,2830,3050,3180,3310,3250,3240,3280,3480,3480,3540,3640,3760,3740,3760,3950,3510,3590,3580,3430,3340,3240,3190,3290,3380,3330,3260,3070,3140,3040,2880
Sweden,5510,5650,5370,5330,5660,5700,5820,5680,5780,5680,5380,5700,5830,5680,5870,5710,5530,5460,5380,4890,5440,5280,5300,5180,5000,4580,4860,4930,4970,4780,4290,4560,4330,4250
Eswatini,1170,1080,1000,905,1010,992,896,951,953,968,914,896,895,878,856,859,900,903,889,995,836,1000,996,1020,1010,1050,1040,997,990,1020,991,951,959,
Seychelles,541,,,,,,,,,,,,,,3100,2750,2870,2410,,,,,,,,,,,,,,,,
Syria,832,878,815,795,805,828,850,900,977,949,928,929,942,925,943,1110,1100,1080,1070,978,964,904,704,559,618,561,530,596,557,554,510,492,455,
Chad,297,283,281,295,287,280,278,259,256,248,242,242,240,238,224,229,224,219,217,224,219,209,229,227,221,217,213,204,201,190,193,196,199,
Togo,316,314,309,313,352,355,384,366,381,423,411,399,403,415,409,406,394,398,402,476,463,453,440,417,424,401,423,404,411,414,425,423,425,
Thailand,774,825,866,899,979,1050,1160,1170,1080,1140,1150,1170,1290,1380,1480,1510,1530,1570,1600,1580,1720,1700,1820,1940,1930,1930,1990,1980,1940,1980,1870,1830,1860,
